Comparison Log - 04/03/2026 18:14:12
***MISMATCH*** The file 'PSE2.S2DWRK.LBX.CITYOFD.txt.152846402' DOES NOT MATCH.
***MISMATCH*** The file 'PSE2.S2DWRK.LBX.CITYOFVE.txt.093750402' DOES NOT MATCH.
***MISMATCH*** The file 'PSE2.S2DWRK.LBX.CITYOFVE.txt.103100402' DOES NOT MATCH.
***MISMATCH*** The file 'PSE2.S2DWRK.LBX.GENPARTS.txt.181321402' DOES NOT MATCH.
***MISMATCH*** The file 'PSE2.S2DWRK.LBX.GENUINE2.txt.182836402' DOES NOT MATCH.
***MISMATCH*** The file 'PSE2.S2DWRK.LBX.GENUINE3.txt.142855402' DOES NOT MATCH.
***MISMATCH*** The file 'PSE2.S2DWRK.LBX.HEALTHL.txt.182832402' DOES NOT MATCH.
***MISMATCH*** The file 'PSE2.S2DWRK.LBX.HERCULES.txt.152850402' DOES NOT MATCH.
***MISMATCH*** The file 'PSE2.S2DWRK.LBX.HUNT.txt.152815402' DOES NOT MATCH.
***MISMATCH*** The file 'PSE2.S2DWRK.LBX.IMMUCOR.txt.182836402' DOES NOT MATCH.
***MISMATCH*** The file 'PSE2.S2DWRK.LBX.INNOMED.txt.182831402' DOES NOT MATCH.
***MISMATCH*** The file 'PSE2.S2DWRK.LBX.MOODYS.txt.165821402' DOES NOT MATCH.
***MISMATCH*** The file 'PSE2.S2DWRK.LBX.MORRISON.txt.172826402' DOES NOT MATCH.
***MISMATCH*** The file 'PSE2.S2DWRK.LBX.NPR.txt.111500402' DOES NOT MATCH.
***MISMATCH*** The file 'PSE2.S2DWRK.LBX.PRINTPK.txt.172821402' DOES NOT MATCH.
***MISMATCH*** The file 'PSE2.S2DWRK.LBX.PUBLIX2.txt.182831402' DOES NOT MATCH.
***MISMATCH*** The file 'PSE2.S2DWRK.LBX.ROGERS.txt.165821402' DOES NOT MATCH.
***MISMATCH*** The file 'PSE2.S2DWRK.LBX.STEBARGA.txt.182832402' DOES NOT MATCH.
***MISMATCH*** The file 'PSE2.S2DWRK.LBX.UMETH.txt.135325402' DOES NOT MATCH.
***MISMATCH*** The file 'PSE2.S2DWRK.LBX.WORLDMIN.txt.162926402' DOES NOT MATCH.
***MISMATCH*** The file 'PSE2.S2DWRK.SCAPHARMACEUTICALSLLC.PREMGR.txt.162811402' DOES NOT MATCH.
***MISMATCH*** The file 'PSE2.S2DWRKPC.LBX.txt.txt.182846402' DOES NOT MATCH.
***MISSING*** The file 'RowanTAX.txt.txt.110035402' has no match in Directory B.
***MISSING*** The file 'RPS0043.txt.txt.123515402' has no match in Directory B.
***MISSING*** The file 'RPS0152.txt.txt.123745402' has no match in Directory B.
***MISSING*** The file 'TRAN0041.txt.txt.110115402' has no match in Directory B.
***MISSING*** The file 'UNC.txt.txt.110010402' has no match in Directory B.
***MATCH*** The file 'w095279.csv.txt.115835402' MATCHES.
***MISMATCH*** The file 'W5779.txt.txt.072820402' DOES NOT MATCH.
***MISMATCH*** The file 'W628732.csv.txt.093220402' DOES NOT MATCH.
***MISMATCH*** The file 'W6583.txt.txt.132826402' DOES NOT MATCH.
***MISSING*** The file 'W6671.csv.txt.145405402' has no match in Directory B.
***MATCH*** The file 'w890271.txt.txt.152846402' MATCHES.
***MATCH*** The file 'W890272.csv.txt.132826402' MATCHES.
***MISMATCH*** The file 'W890352.2026040201.txt.txt.102825402' DOES NOT MATCH.
***MATCH*** The file 'W890423.txt.txt.152840402' MATCHES.
***MATCH*** The file 'W890559.txt.txt.122811402' MATCHES.
***MATCH*** The file 'w890701.txt.txt.092820402' MATCHES.
***MATCH*** The file 'W890835.txt.txt.092820402' MATCHES.
***MATCH*** The file 'W890841.txt.txt.102825402' MATCHES.
***MATCH*** The file 'W890885.csv.txt.162941402' MATCHES.
***MATCH*** The file 'W890898.txt.txt.092820402' MATCHES.
***MATCH*** The file 'W890940.txt.txt.092820402' MATCHES.
***MATCH*** The file 'W890949.txt.txt.162851402' MATCHES.
***MATCH*** The file 'W890976.txt.txt.072814402' MATCHES.
***MATCH*** The file 'W896024.txt.txt.102825402' MATCHES.
***MATCH*** The file 'w896075.csv.txt.162936402' MATCHES.
***MATCH*** The file 'w896595.txt.txt.162911402' MATCHES.
***MATCH*** The file 'W896681.txt.txt.132826402' MATCHES.
***MATCH*** The file 'w896733.csv.txt.102825402' MATCHES.
***MATCH*** The file 'W896747.csv.txt.162856402' MATCHES.
***MATCH*** The file 'w896843.txt.txt.162911402' MATCHES.
***MATCH*** The file 'W9090.csv.txt.131045402' MATCHES.
***MATCH*** The file 'W9239.txt.txt.131321402' MATCHES.
***MATCH*** The file 'W9514.txt.txt.131626402' MATCHES.
***MATCH*** The file 'w9540.txt.txt.131045402' MATCHES.
***MATCH*** The file 'W9553.txt.txt.131626402' MATCHES.
***MATCH*** The file 'W9641.txt.txt.115835402' MATCHES.
***MATCH*** The file 'W9712.txt.txt.131630402' MATCHES.
***MATCH*** The file 'W9713.txt.txt.131626402' MATCHES.
***MATCH*** The file 'W9714.txt.txt.131655402' MATCHES.
***MATCH*** The file 'W9716.csv.txt.131351402' MATCHES.
***MATCH*** The file 'W9756.txt.txt.131250402' MATCHES.
***MATCH*** The file 'W9762.csv.txt.131650402' MATCHES.
***MATCH*** The file 'W9783.csv.txt.131021402' MATCHES.
***MATCH*** The file 'w9801.csv.txt.130540402' MATCHES.
***MATCH*** The file 'W9834.csv.txt.131021402' MATCHES.
***MATCH*** The file 'W9850d.txt.txt.131400402' MATCHES.
***MATCH*** The file 'W9850h.txt.txt.131350402' MATCHES.
***MATCH*** The file 'W9850r.txt.txt.131355402' MATCHES.
==================== SUMMARY ====================
Total files in Directory A : 414
Found in Directory B       : 314
Matches                    : 186
Mismatches                 : 128
Missing                    : 100
=================================================
Comparison completed on 04/03/2026 18:14:39
